accom_id,accom_image_path
1,"http://tong.visitkorea.or.kr/cms/resource/14/1358914_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/1358914_image3_1.jpg"
2,"http://tong.visitkorea.or.kr/cms/resource/45/2705645_image2_1.jpg, http://tong.visitkorea.or.kr/cms/resource/45/2705645_image2_1.jpg"
3,"http://tong.visitkorea.or.kr/cms/resource/20/3337220_image2_1.jpg, http://tong.visitkorea.or.kr/cms/resource/20/3337220_image3_1.jpg"
4,"http://tong.visitkorea.or.kr/cms/resource/45/1903045_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/1903045_image3_1.jpg"
5,"http://tong.visitkorea.or.kr/cms/resource/26/2497226_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/26/2497226_image2_1.JPG"
6,"http://tong.visitkorea.or.kr/cms/resource/36/2650636_image2_1.jpg, http://tong.visitkorea.or.kr/cms/resource/36/2650636_image2_1.jpg"
7,"http://tong.visitkorea.or.kr/cms/resource/56/2607356_image2_1.png, http://tong.visitkorea.or.kr/cms/resource/56/2607356_image2_1.png"
8,"http://tong.visitkorea.or.kr/cms/resource/71/2803371_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2803371_image3_1.jpg"
9,"http://tong.visitkorea.or.kr/cms/resource/86/2998986_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2998986_image3_1.jpg"
10,"http://tong.visitkorea.or.kr/cms/resource/13/1990913_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/1990913_image2_1.jpg"
11,"http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG"
12,"http://tong.visitkorea.or.kr/cms/resource/11/2811411_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2811411_image2_1.jpg"
13,"http://tong.visitkorea.or.kr/cms/resource/60/1786060_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/1786060_image3_1.jpg"
14,"http://tong.visitkorea.or.kr/cms/resource/77/2764077_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2764077_image2_1.jpg"
15,"http://tong.visitkorea.or.kr/cms/resource/21/3416021_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/3416021_image3_1.jpg"
16,"http://tong.visitkorea.or.kr/cms/resource/39/2993039_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2993039_image3_1.jpg"
17,"http://tong.visitkorea.or.kr/cms/resource/34/3348134_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/3348134_image3_1.jpg"
18,"http://tong.visitkorea.or.kr/cms/resource/32/3012032_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/3012032_image3_1.jpg"
19,"http://tong.visitkorea.or.kr/cms/resource/91/3083091_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3083091_image3_1.jpg"
20,"http://tong.visitkorea.or.kr/cms/resource/92/2811492_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2811492_image2_1.jpg"
21,"http://tong.visitkorea.or.kr/cms/resource/56/1575756_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/1575756_image3_1.jpg"
22,"http://tong.visitkorea.or.kr/cms/resource/51/2521951_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/51/2521951_image2_1.JPG"
23,"http://tong.visitkorea.or.kr/cms/resource/67/2475067_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2475067_image2_1.jpg"
24,"http://tong.visitkorea.or.kr/cms/resource/36/1213836_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/1213836_image3_1.jpg"
25,"http://tong.visitkorea.or.kr/cms/resource/93/3058893_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/3058893_image3_1.jpg"
26,"http://tong.visitkorea.or.kr/cms/resource/57/2539557_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2539557_image2_1.jpg"
27,"http://tong.visitkorea.or.kr/cms/resource/42/1378142_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/1378142_image3_1.jpg"
28,"http://tong.visitkorea.or.kr/cms/resource/69/2707769_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2707769_image3_1.jpg"
29,"http://tong.visitkorea.or.kr/cms/resource/91/1946391_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/1946391_image3_1.jpg"
30,"http://tong.visitkorea.or.kr/cms/resource/66/3003666_image2_1.jpg, http://tong.visitkorea.or.kr/cms/resource/66/3003666_image3_1.jpg"
31,"http://tong.visitkorea.or.kr/cms/resource/77/3089077_image2_1.jpg, http://tong.visitkorea.or.kr/cms/resource/77/3089077_image3_1.jpg"
32,"http://tong.visitkorea.or.kr/cms/resource/21/2920121_image2_1.jpg, http://tong.visitkorea.or.kr/cms/resource/21/2920121_image3_1.jpg"
33,"http://tong.visitkorea.or.kr/cms/resource/87/3044687_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/3044687_image3_1.jpg"
34,"http://tong.visitkorea.or.kr/cms/resource/07/2684307_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2684307_image3_1.jpg"
35,"http://tong.visitkorea.or.kr/cms/resource/00/2921100_image2_1.jpg, http://tong.visitkorea.or.kr/cms/resource/00/2921100_image3_1.jpg"
36,"http://tong.visitkorea.or.kr/cms/resource/50/2920450_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2920450_image3_1.jpg"
37,"http://tong.visitkorea.or.kr/cms/resource/56/3067856_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/3067856_image3_1.jpg"
38,"http://tong.visitkorea.or.kr/cms/resource/71/2920171_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2920171_image3_1.jpg"
39,"http://tong.visitkorea.or.kr/cms/resource/59/1992459_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/1992459_image2_1.jpg"
40,"http://tong.visitkorea.or.kr/cms/resource/38/2383438_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2383438_image2_1.jpg"
41,"http://tong.visitkorea.or.kr/cms/resource/85/709585_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/709585_image3_1.jpg"
42,"http://tong.visitkorea.or.kr/cms/resource/34/1583234_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1583234_image3_1.jpg"
43,"http://tong.visitkorea.or.kr/cms/resource/37/2531937_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2531937_image3_1.jpg"
44,"http://tong.visitkorea.or.kr/cms/resource/42/709642_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/709642_image3_1.jpg"
45,"http://tong.visitkorea.or.kr/cms/resource/08/1581608_image2_1.jpg, http://tong.visitkorea.or.kr/cms/resource/08/1581608_image3_1.jpg"
46,"http://tong.visitkorea.or.kr/cms/resource/11/2042111_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/11/2042111_image2_1.JPG"
47,"http://tong.visitkorea.or.kr/cms/resource/56/2910856_image2_1.jpg, http://tong.visitkorea.or.kr/cms/resource/56/2910856_image3_1.jpg"
48,"http://tong.visitkorea.or.kr/cms/resource/97/2949397_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/97/2949397_image3_1.jpeg"
49,"http://tong.visitkorea.or.kr/cms/resource/97/2950597_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2950597_image3_1.jpg"
50,"http://tong.visitkorea.or.kr/cms/resource/63/2907263_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2907263_image3_1.jpg"
51,"http://tong.visitkorea.or.kr/cms/resource/40/2756940_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2756940_image2_1.jpg"
52,"http://tong.visitkorea.or.kr/cms/resource/63/2568463_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2568463_image2_1.jpg"
